Delta Averaged,Theta Averaged,Alpha Averaged,Beta Averaged,Gamma Averaged,Mean Delta 10sec,Median Delta 10sec,Sum Delta 10sec,STDEV Delta 10sec,Relaxed,Time Averaged,Funny/Happy
0.0173795578,0.260680588,0.1020280875,0.370450452,0.249461304,,,,,1,12.07560174,0
0.0174168296,0.244701619,0.1083965861,0.374921621,0.25456335,,,,,1,12.10512133,0
0.0173672859,0.236300809,0.1147651828,0.372104903,0.259461815,,,,,1,12.13744922,0
0.0168724511,0.240544768,0.1177230809,0.357449559,0.267410153,,,,,1,12.16835465,0
0.0168481458,0.24811152,0.1207822082,0.336676104,0.277581995,,,,,1,12.20475461,0
0.0182629904,0.253065186,0.1247749986,0.315278398,0.288618436,,,,,1,12.2329787,0
0.0209312532,0.250865265,0.128358364,0.302228123,0.297617014,,,,,1,12.2609055,0
0.0244051985,0.242889817,0.128597494,0.302541379,0.301566118,,,,,1,12.28743634,0
0.0275750592,0.227347624,0.123583268,0.318241402,0.30325266,,,,,1,12.31765254,0
0.0287967333,0.200157314,0.1170191838,0.350571716,0.303455055,,,,,1,12.34438131,0
0.0275749367,0.172582019,0.1120939475,0.38986206,0.297887015,,,,,1,12.37988615,0
0.0247008579,0.153011832,0.1099430591,0.433651074,0.278693188,,,,,1,12.41569192,0
0.0217330325,0.143857102,0.107976647,0.477493356,0.248939866,,,,,1,12.44760673,0
0.0208431638,0.144426001,0.1048487125,0.511777215,0.218104909,,,,,1,12.48570349,0
0.0226745623,0.154324148,0.101964458,0.529691323,0.1913455,,,,,1,12.51353326,0
0.0262109891,0.173369845,0.1009567616,0.528966787,0.170495613,,,,,1,12.53756483,0
0.0301315936,0.195930346,0.1003808978,0.522312568,0.151244592,,,,,1,12.56128209,0
0.0327517208,0.213113686,0.0951998492,0.529274062,0.129660676,,,,,1,12.57955201,0
0.0345470341,0.218692796,0.0907034641,0.541104159,0.1149525388,,,,,1,12.59840169,0
0.036175607,0.225008098,0.0934121116,0.538435369,0.1069688084,,,,,1,12.62303591,0
0.0374151361,0.237219781,0.098722631,0.52537545,0.1012669806,,,,,1,12.64497786,0
0.0381792443,0.250172673,0.1044457504,0.511227586,0.09597475,,,,,1,12.66223207,0
0.0389908763,0.263958386,0.1101583806,0.495675161,0.0912171821,,,,,1,12.68267746,0
0.0400225714,0.277852497,0.11445777,0.48154483,0.0861223301,,,,,1,12.70132711,0
0.039842258,0.283287757,0.114324235,0.485031464,0.0775142826,,,,,1,12.71927795,0
0.0351170134,0.266941508,0.1094292431,0.521045626,0.06746659,,,,,1,12.73713279,0
0.0308464803,0.237815393,0.101985298,0.569888739,0.059464102,,,,,1,12.7609669,0
0.028177421,0.213758885,0.0973554248,0.606418178,0.0542900929,,,,,1,12.78071415,0
0.0253794539,0.196721851,0.0930923795,0.635090791,0.0497155331,,,,,1,12.78929112,0
0.0225419539,0.185142989,0.0903629424,0.656113019,0.0458390963,,,,,1,12.80903966,0
0.0195764227,0.178618672,0.0933988261,0.664156361,0.0442497216,,,,,1,12.82858648,0
0.0171350116,0.179594011,0.0945545068,0.664534982,0.044181509,,,,,1,12.84693792,0
0.0162257741,0.180858826,0.0937639916,0.664961946,0.0441894603,,,,,1,12.87014341,0
0.0163703035,0.183207496,0.0966012826,0.659494361,0.0443265598,,,,,1,12.88929241,0
