0_Der_avg,Blink_Averaged,Time_Average,1_Der_avg,3_Der_avg
-99.05881375,0,35.8239,-7.826921983,7.422348631
-174.4883612,0,35.8746,-104.82823,-95.07274684
-21.84367947,0,35.9239,-64.46927364,-83.76621184
39.14491807,0,35.9738,-20.26023607,-77.29733977
-2.139246265,0,36.0247,-92.51740149,-104.4447617
-9.61365927,0,36.0743,-1.153649194,8.120715726
5.896996545,0,36.1239,22.76499771,63.01895137
48.49788059,0,36.1731,41.80521983,14.03766688
231.7632108,0,36.2244,290.3401215,57.1243994
1607.308258,1,36.2786,1573.999584,287.7747935
1488.162024,1,36.3234,1435.279828,350.1054613
-1213.911254,0,36.381,-1110.642503,-74.49481623
-1956.547135,0,36.4232,-1802.536973,-356.107774
-924.9467551,0,36.4738,-851.4317171,-282.7242116
-174.966116,0,36.5292,-209.749329,-107.6355614
-18.4958894,0,36.575,-21.36202533,24.57295892
41.33372025,0,36.6234,24.03480903,53.71682316
227.1344792,0,36.6744,111.6329395,39.6893182
138.2500995,0,36.7252,96.83742947,25.64627659
118.2364144,0,36.7734,111.3417743,49.54991917
78.72253154,0,36.8244,72.10264687,-16.87176707
38.06188481,0,36.875,32.44745974,-35.64122981
77.01114432,0,36.9232,49.56068756,-0.763125689
44.68475358,0,36.9744,25.20279305,-33.10528521
-59.86741772,0,37.025,-30.52252107,26.45651268
-99.84806974,0,37.0732,-34.23549967,-11.4195986
84.99034871,0,37.1244,63.74608648,-44.19922204
88.41563625,0,37.1737,80.84416633,28.98560953
-29.31603933,0,37.2247,4.095497628,20.95712429
-25.76459677,0,37.2743,21.06333669,13.90775202
-48.70005456,0,37.3239,15.0003833,47.00491466
-58.53189143,0,37.3763,24.11783984,58.53438661
-44.00149072,0,37.4236,-7.640704064,8.756792566
-15.18543673,0,37.4777,-19.79567758,38.10865873
7.064764471,0,37.5248,40.55731804,49.49656118
40.69952306,0,37.5741,39.72848449,78.23980134
14.91630618,0,37.6239,-29.592292,-11.82738651
-10.87934915,0,37.6796,-34.20723858,-181.626076
